query_idx,query,method_code,method_name,k_selected,selected_indices,common_qubo_energy,avg_redundancy,avg_relevance,runtime_s
4,Solve for z: 3z - 7 = 2z + 5.,[8],Combinatorial Reasoning,6,3;12;13;14;15;16,-1.1778,0.0551,0.0487,0.0939
4,Solve for z: 3z - 7 = 2z + 5.,[9],QCR-LLM (HUBO),6,3;0;1;2;4;5,-0.9852,0.0596,0.0487,0.3661
4,Solve for z: 3z - 7 = 2z + 5.,[10],DQO bias-field,6,3;0;12;13;14;15,-1.4484,0.0173,0.0454,0.0193
5,A shop sells apples for $0.50 each and oranges for $0.75 eac,BASE,Textbook QUBO (yours),6,5;0;18;14;6;19,-1.3588,0.0198,0.0,0.0406
5,A shop sells apples for $0.50 each and oranges for $0.75 eac,[5],Self-Consistency,6,0;1;2;3;4;5,-0.6768,0.0596,0.0,0.0
5,A shop sells apples for $0.50 each and oranges for $0.75 eac,[6],Tree-of-Thoughts,6,4;5;10;11;17;23,-0.8606,0.0244,0.0,0.0006
5,A shop sells apples for $0.50 each and oranges for $0.75 eac,[7],Ranked-Voting SC,6,0;6;7;12;13;18,-0.9961,0.0336,0.0,0.0001
5,A shop sells apples for $0.50 each and oranges for $0.75 eac,[8],Combinatorial Reasoning,6,9;12;13;14;15;16,-0.8164,0.0715,0.0,0.0941
5,A shop sells apples for $0.50 each and oranges for $0.75 eac,[9],QCR-LLM (HUBO),6,0;1;2;3;4;5,-0.6768,0.0596,0.0,0.3667
5,A shop sells apples for $0.50 each and oranges for $0.75 eac,[10],DQO bias-field,6,3;5;12;13;14;15,-1.1894,0.0248,0.0,0.0193
6,All cats are mammals. Some mammals are predators. Can we con,BASE,Textbook QUBO (yours),6,5;0;18;14;6;19,-1.3588,0.0198,0.0,0.0404
6,All cats are mammals. Some mammals are predators. Can we con,[5],Self-Consistency,6,0;1;2;3;4;5,-0.6768,0.0596,0.0,0.0
6,All cats are mammals. Some mammals are predators. Can we con,[6],Tree-of-Thoughts,6,4;5;10;11;17;23,-0.8606,0.0244,0.0,0.0006
6,All cats are mammals. Some mammals are predators. Can we con,[7],Ranked-Voting SC,6,0;6;7;12;13;18,-0.9961,0.0336,0.0,0.0001
6,All cats are mammals. Some mammals are predators. Can we con,[8],Combinatorial Reasoning,6,9;12;13;14;15;16,-0.8164,0.0715,0.0,0.0938
6,All cats are mammals. Some mammals are predators. Can we con,[9],QCR-LLM (HUBO),6,0;1;2;3;4;5,-0.6768,0.0596,0.0,0.3652
6,All cats are mammals. Some mammals are predators. Can we con,[10],DQO bias-field,6,3;5;12;13;14;15,-1.1894,0.0248,0.0,0.0192
