query_idx,query,method_code,method_name,k_selected,selected_indices,common_qubo_energy,avg_redundancy,avg_relevance,runtime_s
5,"A shop sells apples for $0.50 each and oranges for $0.75 each. If John buys 4 apples and 3 oranges, how much does he pay?",[8],Combinatorial Reasoning,6,0;16;19;8;3;7,42.1556,0.7293,0.7667,0.0003
5,"A shop sells apples for $0.50 each and oranges for $0.75 each. If John buys 4 apples and 3 oranges, how much does he pay?",[9],QCR-LLM (HUBO),6,19;17;16;3;4;2,45.2183,0.8036,1.0000,0.0000
5,"A shop sells apples for $0.50 each and oranges for $0.75 each. If John buys 4 apples and 3 oranges, how much does he pay?",[10],DQO bias-field,6,3;0;1;2;4;16,47.7616,0.8460,1.0000,0.8843
6,All cats are mammals. Some mammals are predators. Can we conclude all cats are predators?,BASE,Textbook QUBO (yours),6,3;0;1;2;4;5,46.7902,0.7632,0.3333,3.5006
6,All cats are mammals. Some mammals are predators. Can we conclude all cats are predators?,[5],Self-Consistency,6,0;1;2;3;4;5,46.7902,0.7632,0.3333,0.0000
6,All cats are mammals. Some mammals are predators. Can we conclude all cats are predators?,[6],Tree-of-Thoughts,6,7;12;1;14;4;13,47.4131,0.7702,0.3000,0.0000
6,All cats are mammals. Some mammals are predators. Can we conclude all cats are predators?,[7],Ranked-Voting SC,6,19;18;17;16;15;14,48.6227,0.7904,0.3000,0.0001
6,All cats are mammals. Some mammals are predators. Can we conclude all cats are predators?,[8],Combinatorial Reasoning,6,3;1;14;2;18;15,43.1416,0.7024,0.3333,0.0010
6,All cats are mammals. Some mammals are predators. Can we conclude all cats are predators?,[9],QCR-LLM (HUBO),6,3;19;17;18;16;15,48.7324,0.7955,0.3333,0.0001
6,All cats are mammals. Some mammals are predators. Can we conclude all cats are predators?,[10],DQO bias-field,6,3;10;0;1;2;4,46.9874,0.7665,0.3333,3.4384
